Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,Direction_Code,Direction_Label,Direction_Hidden,Direction_Note,Direction_Order,Flow_Code,Flow_Label,Flow_Hidden,Flow_Note,Flow_Order,M5011_Value,M5011_Footnote_Code,M5011_Footnote_Text,M5011_MissingValue_Code,M5011_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,2006,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.1154620686191515,0,,,,16298784800,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2006,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.00919089178474417,0,,,,1380747000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2007,1,"Inward",False,,1,08,"Flow",False,,1,-0.04733397484248122,0,,,,-893342150,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2007,2,"Outward",False,,2,08,"Flow",False,,1,0.04160798429315513,0,,,,911781460,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2007,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.0859322529774827,0,,,,15405442700,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2007,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.01230566909386369,0,,,,2292529000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2008,1,"Inward",False,,1,08,"Flow",False,,1,0.11526009557225349,0,,,,1678971010,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2008,2,"Outward",False,,2,08,"Flow",False,,1,0.14963644627002043,0,,,,2569643970,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2008,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.11504233656145174,0,,,,17084413700.000002,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2008,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.03160527344358151,0,,,,4862173000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2009,1,"Inward",False,,1,08,"Flow",False,,1,0.1904046237564603,0,,,,2205298180,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2009,2,"Outward",False,,2,08,"Flow",False,,1,0.0005239565514836427,0,,,,6753120,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2009,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.10307107347300344,0,,,,19289711800,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2009,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.024686192112616773,0,,,,4868926000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,1,"Inward",False,,1,08,"Flow",False,,1,-0.2309258254680257,0,,,,-3227211180,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,2,"Outward",False,,2,08,"Flow",False,,1,0.09325639903771688,0,,,,1340429380,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.15571839181114308,0,,,,32457882860,0,,,
